City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,saint-leu,-21.15,55.2833,298.61,94,18,1.54,RE,1680224726
339,northam,51.0333,-4.2167,284.05,95,100,9.61,GB,1680224346
340,baillif,16.0202,-61.7463,296.87,77,10,4.72,GP,1680224726
341,brufut,13.3814,-16.7518,293.91,90,2,3.22,GM,1680224726
342,amot,59.5714,7.9877,270.24,96,100,1.59,NO,1680224727
343,chapais,49.7834,-74.8492,263.03,95,95,1.96,CA,1680224291
344,guantanamo,20.1444,-75.2092,299.91,75,6,2.1,CU,1680224727
345,eyl,7.9803,49.8164,299.36,78,6,2.98,SO,1680224727
346,aloja,57.7669,24.8825,273.3,98,100,2.41,LV,1680224727
347,priargunsk,50.3691,119.1012,275.98,68,3,3.03,RU,1680224728
348,barra do garcas,-15.89,-52.2567,296.35,70,0,0.37,BR,1680224728
349,raudeberg,61.9875,5.1352,274.52,72,80,2.48,NO,1680224323
350,glenwood springs,39.5505,-107.3248,276.6,89,100,7.2,US,1680224580
351,sola,-13.8833,167.55,303.52,79,100,1.03,VU,1680224728
352,bambous virieux,-20.3428,57.7575,299.94,89,40,5.14,MU,1680224270
353,nelson bay,-32.7167,152.15,296.48,50,0,4.02,AU,1680224729
354,samarai,-10.6167,150.6667,304.28,62,100,2.0,PG,1680224565
355,lebu,-37.6167,-73.65,285.28,81,18,7.17,CL,1680224308
356,yingcheng,30.95,113.55,290.7,57,55,1.57,CN,1680224729
357,bam,29.106,58.357,292.67,32,6,1.67,IR,1680224499
358,klaksvik,62.2266,-6.589,281.66,98,100,10.42,FO,1680224318
359,hefei,31.8639,117.2808,285.16,87,75,3.0,CN,1680224729
360,ketchikan,55.3422,-131.6461,276.14,97,100,3.07,US,1680224472
361,lompoc,34.6391,-120.4579,287.6,69,20,8.75,US,1680224267
362,kawhia,-38.0651,174.8183,290.51,65,52,2.97,NZ,1680224358
